CCG Code,Practice Code,Practice Name,GP Prevalence
09J,G82648,ROCHESTER ROAD SURGERY,6.8
09J,G82163,MARLING WAY SURGERY,6.7
09J,G82096,THE FORGE SURGERY,6.4
09J,G82808,"OAKFIELD HEALTH CENTRE, PRACTICE 2",6.3
09J,G82062,PARROCK STREET SURGERY,6.2
09J,G82044,THE GATEWAY MEDICAL PRACTICE,6.2
09H,H82012,LEACROFT MEDICAL PRACTICE,9.3
09H,H82053,FURNACE GREEN SURGERY,5.9
09H,H82064,SOUTHGATE SURGERY,5.7
09H,Y00351,LANGLEY CORNER SURGERY,5.6
09H,H82050,IFIELD MEDICAL PRACTICE,5.5
09H,H82098,COACHMANS MEDICAL PRACTICE,5.5
09H,H82033,GOSSOPS GREEN MEDICAL CENTRE,5.4
09H,H82088,BEWBUSH MEDICAL CENTRE,5.4
09H,H82047,BRIDGE MEDICAL CENTRE,5.3
09H,H82025,WOODLANDS&CLERKLANDS PARTNERSHIP,5.2
09G,H82037,SELSEY MEDICAL PRACTICE,8.0
09G,H82091,NEW POND ROW SURGERY,8.0
09G,H82087,BARN SURGERY,7.9
09G,H82095,WITTERINGS HC,7.7
09G,H82043,GROVE HOUSE SURGERY,7.6
09G,H82024,SEAL MEDICAL GROUP,7.4
09G,H82015,PHOENIX SURGERY,7.1
09G,H82094,KINGFISHER FAMILY PRACTICE,7.0
09G,H82016,BERSTED GREEN SURGERY,6.9
09G,H82096,ORCHARD SURGERY,6.5
09F,G81004,DOWNLANDS MEDICAL CENTRE,7.3
09F,G81685,BETHANY HOUSE SURGERY,6.9
09F,G81059,SEAFORTH FARM SURGERY,6.8
09F,G81012,BRIDGESIDE SURGERY,6.8
09F,G81060,VICARAGE FIELD SURGERY,6.4
09F,G81049,MANOR PARK MEDICAL CENTRE,6.4
09F,G81003,THE LIGHEALTHOUSE MEDICAL PRACTICE,6.3
09F,G81008,STONE CROSS SURGERY,6.3
09F,G81029,SEAFORD MEDICAL PRACTICE,6.1
09F,G81022,PRINCES PARK HEALTH CENTRE,5.9
09E,G82090,ST. ANNES GROUP PRACTICE,7.3
09E,G82029,COACH HOUSE SURGERY,7.1
09E,G82204,KINGSTONE COTTAGE,7.1
09E,G82040,LONDON ROAD SURGERY,6.5
09E,G82148,7 THE BUTCHERY,6.4
09E,G82071,DR JM RIBCHESTER & PARTNERS,6.2
09E,G82119,THE PARK SURGERY,6.2
09E,G82138,ASH SURGERY,6.1
09E,G82179,BOUGHTON MEDICAL CENTRE,6.0
09E,G82726,SADDLETON ROAD SURGERY,5.8
09D,Y02404,NEW LARCHWOOD SURGERY,6.4
09D,G81676,WHITEHAWK MEDICAL PRACTICE,6.0
09D,G81667,ST. LUKE'S SURGERY,5.8
09D,G81046,PORTSLADE HEALTH CENTRE,5.8
09D,Y00079,HANGLETON MANOR SURGERY,5.7
09D,G81073,MILE OAK MEDICAL CENTRE,5.6
09D,G81661,WILLOW SURGERY,5.3
09D,G81680,PORTSLADE COUNTY CLINIC,5.3
09D,G81636,BURWASH ROAD SURGERY,5.2
09D,G81076,SALTDEAN AND ROTTINGDEAN MEDICAL PRACTICE,5.2
09C,G82080,WILLESBOROUGH HEALTH CENTRE,6.1
09C,G82114,IVY COURT,6.1
09C,G82053,WOODCHURCH SURGERY,6.1
09C,G82050,SYDENHAM HOUSE,6.0
09C,G82087,NEW HAYESBANK SURGERY,5.8
09C,G82049,HOLLINGTON SURGERY,5.8
09C,G82658,SELLINDGE SURGERY,5.7
09C,G82186,HAMSTREET SURGERY,5.6
09C,G82094,CHARING SURGERY,5.5
09C,G82788,NORTH STREET SURGERY,5.4
09A,E87663,THIRD FLOOR LANARK ROAD MEDICAL CENTRE,7.5
09A,Y02842,HALF PENNY STEPS HEALTH CENTRE,7.3
09A,E87008,PADDINGTON GREEN HEALTH CENTRE,6.8
09A,E87011,LISSON GROVE HEALTH CENTRE,6.3
09A,E87756,GROUND FLOOR LANARK MEDICAL CENTRE,5.5
09A,Y00902,THE WESTBOURNE GREEN SURGERY,5.4
09A,E87739,MILLBANK MEDICAL CENTRE,4.7
09A,E87052,CROMPTON MEDICAL CENTRE,4.4
09A,E87006,LITTLE VENICE MEDICAL CENTRE,4.4
09A,E87002,VICTORIA MEDICAL CENTRE,4.3
08Y,E87057,NAGARAJAN QUEENS PARK HEALTH CENTRE,9.7
08Y,E87742,THE GOLBORNE MEDICAL CENTRE,7.5
08Y,E87733,THE EXMOOR SURGERY,7.4
08Y,E87024,THE GOLBORNE MEDICAL CENTRE,7.2
08Y,E87026,MEANWHILE GARDEN MEDICAL CENTRE,7.2
08Y,E87735,LAI CHUNG FONG QUEENS PARK HEALTH CENTRE,7.0
08Y,E87727,THE SURGERY,6.3
08Y,E87047,OM SAI MEDICAL CENTRE,6.3
08Y,Y01011,BARLBY ROAD SURGERY,6.3
08Y,E87038,ELGIN CLINIC,6.2
08X,H85087,OPEN DOOR SURGERY,7.9
08X,H85052,STREATHAM PARK SURGERY,7.8
08X,H85685,SAI MEDICAL CENTRE,7.3
08X,H85680,TOOTING SOUTH MEDICAL CENTRE,6.6
08X,H85650,GRANVILLE ROAD SURGERY,6.4
08X,H85075,THE HAIDER PRACTICE,6.2
08X,H85067,DANEBURY AVENUE SURGERY,6.1
08X,H85011,THE GREYSWOOD PRACTICE,6.0
08X,H85006,MAYFIELD SURGERY,5.5
08X,H85008,THE ROEHAMPTON SURGERY,5.4
08W,F86638,THE MICROFACULTY,8.7
08W,F86088,THE LYNDHURST SURGERY,8.4
08W,F86030,QUEENS ROAD MEDICAL CENTRE,8.0
08W,F86044,CRAWLEY ROAD MEDICAL CENTRE,7.9
08W,F86696,FRANCIS ROAD MEDICAL CENTRE,7.6
08W,F86045,HIGH ROAD SURGERY,7.5
08W,Y01839,SINNOTT ROAD SURGERY,7.5
08W,F86701,KIYANI MEDICAL PRACTICE,7.0
08W,F86062,GROVE SURGERY,6.9
08W,F86712,HAMPTON MEDICAL CENTRE,6.9
08V,F84046,VARMA CM,9.8
08V,F84087,HARFORD HEALTH CENTRE,8.8
08V,F84025,GOUGH WALK PRACTICE,8.1
08V,F84031,JUBILEE STREET PRACTICE,8.0
08V,F84012,ALBION HEALTH CENTRE,7.8
08V,F84714,ST. PAUL'S WAY MEDICAL CENTRE,7.4
08V,F84051,STROUTS PLACE MEDICAL CENTRE,7.2
08V,F84718,THE BLITHEHALE MEDICAL CENTRE,7.1
08V,F84062,THE CHRISP STREET HEALTH CENTRE,7.0
08V,F84081,THE SPITALFIELDS PRACTICE,6.8
08T,H85618,WELL COURT PRACTICE,7.7
08T,H85023,BISHOPSFORD ROAD PRACTICE,7.5
08T,H85108,19 BANDON RISE,6.9
08T,H85665,WALLINGTON MEDICAL CENTRE,6.7
08T,H85653,WALLINGTON FAMILY PRACTICE,6.6
08T,H85032,CARSHALTON FIELDS SURGERY,6.3
08T,H85113,MALDON ROAD SURGERY,6.1
08T,H85115,SHOTFIELD MEDICAL PRACTICE,5.8
08T,H85054,LEGHARI & MUKTAR PRACTICE,5.8
08T,H85683,FACCINI HOUSE SURGERY,5.7
08R,H85070,CENTRAL MEDICAL CENTRE,9.3
08R,H85029,WIDE WAY SURGERY,8.1
08R,H85078,GRAHAM ROAD SURGERY,7.6
08R,H85038,CRICKET GREEN MEDICAL PRACTICE,7.4
08R,H85033,TAMWORTH HOUSE MEDICAL CENTRE,6.7
08R,H85110,WANDLE ROAD SURGERY,6.4
08R,H85092,RIVERHOUSE MEDICAL PRACTICE,6.3
08R,H85656,ALEXANDRA SURGERY,6.2
08R,H85035,ROWANS SURGERY,6.1
08R,H85016,CANNON HILL LANE MEDICAL PRACTICE,6.0
08Q,G85106,DR KK MISRA'S PRACTICE,7.7
08Q,G85707,DR R SARMA'S PRACTICE,7.2
08Q,G85040,QUEENS RD PHS PRACTICE,7.0
08Q,G85119,STERNHALL LANE SURGERY,6.9
08Q,G85723,DR SMS HOSSAIN'S PRACTICE,6.8
08Q,G85050,SIR JOHN KIRK CLOSE SURGERY,6.7
08Q,G85082,DR RHK SINHA'S PRACTICE,6.3
08Q,G85685,THE NUNHEAD SURGERY,6.2
08Q,G85084,PENROSE SURGERY,5.9
08Q,G85087,DMC SILVERLOCK,5.9
08P,H84057,SARAJLIC (STAINES ROAD),6.1
08P,H84630,SINHA (CRANE PARK),5.9
08P,H84031,BOOHAN (JUBILEE AVENUE),5.0
08P,H84040,LEWIS (HAMPTON),4.6
08P,H84018,BHATIA (BROAD LANE),4.5
08P,H84625,KUDRA (WOODLAWN),4.2
08P,H84044,STENT (THE GREEN & FIR ROAD),4.1
08P,H84615,WEEKS (DEANHILL),4.0
08P,H84623,PENNYCOOK (HAMPTON HILL),3.9
08P,H84039,ROBERTSON (CROSS DEEP),3.8
08N,F86652,THE DRIVE SURGERY,9.9
08N,F86642,CASTLETON ROAD HEALTH CENTRE,9.3
08N,F86060,NEWBURY GROUP PRACTICE,9.3
08N,F86692,MATHUKIA'S SURGERY,9.3
08N,F86083,THE EASTERN AVENUE MEDICAL CENTRE,9.3
08N,F86042,BALFOUR ROAD SURGERY,9.2
08N,F86635,SPEARPOINT SURGERY,8.9
08N,F86008,GANTS HILL MEDICAL CENTRE,8.8
08N,F86022,ILFORD MEDICAL CENTRE,8.7
08N,F86612,THE FULLWELL AVENUE SURGERY,8.6
08M,F84121,E12 HEALTH,9.4
08M,F84677,EAST END MEDICAL CENTRE,9.3
08M,F84670,WESTBURY ROAD MEDICAL PRACTICE,8.7
08M,F84713,EAST HAM MEDICAL CENTRE,8.6
08M,F84739,E12 MEDICAL CENTRE,8.5
08M,F84729,DR NB BHADRA,8.4
08M,F84088,PLASHET ROAD MEDICAL CENTRE,8.2
08M,F84032,BARKING ROAD MEDICAL CENTRE,8.0
08M,F84004,MARKET STREET HEALTH GROUP,7.7
08M,F84070,LATHOM ROAD MEDICAL CENTRE,7.7
08L,G85099,WINLATON SURGERY,9.3
08L,G85713,BOUNDFIELD SURGERY,8.9
08L,G85065,DOWNHAM WAY SURGERY,8.4
08L,G85703,MUIRKIRK SURGERY,7.5
08L,G85699,DR S LINGARAJAH'S PRACTICE,7.1
08L,G85027,DR IRJ MACDONAGH'S PRACTICE,7.1
08L,G85005,SOUTH LEWISHAM GROUP PRACTICE,7.0
08L,G85633,RUSHEY GREEN GP,7.0
08L,G85736,DR MOG SARDER'S PRACTICE,6.9
08L,G85730,PENROSE LEE SURGERY,6.8
08K,G85682,DR GUNASUNTHARAM SURGERY,9.8
08K,G85096,THE VALE SURGERY,7.7
08K,G85102,THE VAUXHALL SURGERY,7.2
08K,G85118,STREATHAM PLACE SURGERY,6.1
08K,Y00020,DR WICKREMESINGHE SSG,5.6
08K,G85028,STOCKWELL GROUP PRACTICE,5.6
08K,G85135,IVEAGH HOUSE SURGERY,5.6
08K,G85677,BALDRY GARDENS FAMILY PRACTICE,5.5
08K,G85700,DR IVOR FERREIRA,5.4
08K,G85022,CROWN DALE MEDICAL CENTRE,5.4
08J,H84058,KINGSDOWNE SURGERY,7.8
08J,H84607,NEW MALDEN HEALTH CENTRE,7.5
08J,H84618,SUNRAY SURGERY,7.2
08J,H84051,ROSELAWN,6.3
08J,H84025,HOOK SURGERY,6.2
08J,H84034,THE ORCHARD PRACTICE,6.2
08J,H84050,CHESSINGTON PARK SURGERY,6.0
08J,H84054,RED LION ROAD SURGERY,5.8
08J,H84033,ST. ALBANS MEDICAL CENTRE,5.8
08J,H84042,HOLMWOOD CORNER SURGERY,5.5
08H,F83671,THE BEAUMONT PRACTICE,9.0
08H,F83027,DRS BOWRY & BOWRY'S PRACTICE,8.4
08H,F83033,DR HAFFIZ,7.5
08H,F83666,ANDOVER MEDICAL CENTRE,7.3
08H,F83007,ROMAN WAY MEDICAL CENTRE,7.1
08H,F83673,DR EDOMAN,6.7
08H,F83031,DR FLINDERS,6.1
08H,F83678,DR SEGARAJASINGHE,6.1
08H,F83056,THE MITCHISON ROAD SURGERY,6.0
08H,F83681,PARTNERSHIP PRIMARY CARE CENTRE,5.9
08G,E86019,DR HA PATEL'S PRACTICE,8.6
08G,E86612,THE PRACTICE PLC SHAKESPEARE AVENUE,8.6
08G,E86003,KINGSWAY SURGERY,8.2
08G,E86637,DR MN RAJAN'S PRACTICE,8.1
08G,E86017,DR CB PATEL'S PRACTICE,8.1
08G,E86018,TOWNFIELD DOCTORS SURGERY,7.8
08G,E86625,DR AN GOUD'S PRACTICE,7.8
08G,E86609,DR S TANVIR'S PRACTICE,7.8
08G,E86615,ACREFIELD SURGERY,7.2
08G,E86016,THE PINE MEDICAL CENTRE,7.1
08F,F82019,DR HAMILTON-SMITH,7.9
08F,F82614,DR S SUBRAMANIAM,7.2
08F,F82744,DR WANI,7.0
08F,F82618,DR JAISWAL,6.9
08F,F82627,DR ABDULLAH,6.4
08F,F82646,DR UBEROY,6.4
08F,F82648,INGREBOURNE MEDICAL CENTRE,6.4
08F,F82031,DR BEHESHTI,6.3
08F,F82609,DR PM PATEL,6.2
08F,F82630,CHASE CROSS MEDICAL CENTRE,6.2
08E,E84647,KENTON CLINIC,9.4
08E,E84681,SAVITA MEDICAL CENTRE,8.7
08E,E84658,ASPRI MEDICAL CENTRE,8.7
08E,E84653,ZAIN MEDICAL CENTRE,8.2
08E,E84069,BELMONT HEALTH CENTRE,8.2
08E,E84018,STREATFIELD HEALTH CENTRE,8.1
08E,E84039,HONEYPOT MEDICAL CENTRE,8.1
08E,E84058,GP DIRECT,8.0
08E,E84068,THE RIDGEWAY SURGERY,7.9
08E,E84008,SIMPSON HOUSE MEDICAL CENTRE,7.9
08D,F85632,GREEN LANES (ANSARI),9.6
08D,F85065,STUART CRESCENT HEALTH CENTRE (DAVE),8.3
08D,F85034,ARCADIAN GARDENS SURGERY,8.2
08D,F85064,STUART CRESCENT HEALTH CENTRE,8.1
08D,F85615,TOTTENHAM HEALTH CENTRE,8.0
08D,Y02117,THE LAURELS MEDICAL PRACTICE,7.9
08D,F85007,LAWRENCE HOUSE SURGERY,7.8
08D,F85059,ST. JOHN'S SURGERY,7.8
08D,F85641,HIGH ROAD SURGERY (SINGH),7.6
08D,F85030,SOMERSET GARDENS FAMILY HEALTH CENTRE,7.5
08C,E85077,SHEPHERDS BUSH MEDICAL CENTRE,8.3
08C,E85048,DR DANDAPAT & PARTNERS,7.4
08C,E85659,DR MIRZA'S PRACTICE,6.5
08C,E85110,"THE SURGERY, DR DAS & PARTNERS",6.2
08C,E85649,FULHAM CROSS MEDICAL CENTRE,5.7
08C,E85673,THE OLD OAK SURGERY,5.7
08C,Y02906,"THE PRACTICE, CANBERRA",5.6
08C,E85672,SALISBURY SURGERY,5.6
08C,E85025,CASSIDY ROAD MEDICAL CENTRE,5.1
08C,E85124,LILLIE ROAD HEALTH CENTRE,4.9
08A,G83633,CONWAY PMS,8.3
08A,G83675,ANGLESEA PMS,8.0
08A,G83641,HASHIM M,7.0
08A,G83026,TRIVENI PMS,6.9
08A,G83007,TEWSON ROAD PMS,6.6
08A,G83060,GLYNDON PMS,6.6
08A,G83019,PLUMSTEAD HEALTH CENTRE PMS,6.6
08A,G83635,WAVERLEY PMS,6.5
08A,G83031,ABBEY WOOD SURGERY,6.5
08A,G83039,ST. MARKS PMS,6.3
07Y,E85713,HOUNSLOW FAMILY PRACTICE,9.5
07Y,E85727,GREENBROOK CHINCHILLA,8.8
07Y,E85700,MANOR HOUSE PRACTICE,8.5
07Y,E85115,PENTELOW PRACTICE,8.3
07Y,E85045,TWICKENHAM PARK MEDICAL CENTRE,8.0
07Y,E85707,SKYWAYS MEDICAL CENTRE,8.0
07Y,E85126,GREEN PRACTICE,7.8
07Y,E85035,MOUNT MEDICAL CENTRE,7.8
07Y,E85681,JERSEY PRACTICE,7.8
07Y,E85018,DR SOOD'S PRACTICE,7.6
07X,F85638,THE PALM MEDICAL CENTRE,9.0
07X,F85043,BOUNDARY COURT SURGERY,8.9
07X,F85650,MORECAMBE SURGERY,8.6
07X,F85055,CONNAUGHT SURGERY,8.4
07X,F85010,KEATS SURGERY,8.3
07X,F85002,FOREST RD GROUP PRACTICE,8.2
07X,F85037,JAINA HOUSE SURGERY,8.1
07X,Y01654,DR RATNARAJAH,8.1
07X,F85706,THE GREEN PRACTICE,8.0
07X,F85663,LATYMER ROAD SURGERY,8.0
07W,E85745,JUBILEE GARDENS MEDICAL CENTRE,9.9
07W,E85721,THE TOWN SURGERY,9.9
07W,E85012,KS MEDICAL CENTRE,9.7
07W,E85728,RIBCHESTER MEDICAL CENTRE,9.5
07W,E85023,LADY MARGARET ROAD (MIKHAIL),9.5
07W,E85061,NORWOOD ROAD SURGERY (KENNEDY),9.1
07W,E85643,MEADOW VIEW,9.0
07W,E85119,THE MWH PRACTICE,9.0
07W,E85717,THE WESTERN ROAD SURGERY,9.0
07W,E85006,WATERSIDE MEDICAL CENTRE,8.9
07V,H83042,LEANDER ROAD PRIMARY CARE CENTRE,9.3
07V,H83625,BROUGHTON CORNER MEDICAL CENTRE,9.3
07V,H83021,LINDEN LODGE MEDICAL PRACTICE,8.9
07V,H83609,MERSHAM MEDICAL CENTRE,8.8
07V,H83053,DR RK NAMASIVAYAM & PARTNERS,8.3
07V,H83022,THORNTON HEATH HEALTH CENTRE,8.1
07V,H83033,ASHBURTON PARK MEDICAL CENTRE,8.1
07V,H83635,WOODSIDE HEALTH CENTRE (04),7.5
07V,H83051,THORNTON ROAD SURGERY,7.4
07V,H83009,NORBURY HEALTH CENTRE (02),7.3
07T,F84043,THE SORSBY HEALTH CENTRE,7.6
07T,F84080,FOUNTAYNE ROAD HEALTH CENTRE,7.4
07T,F84720,HEALY MEDICAL CENTRE,7.2
07T,F84015,KINGSMEAD HEALTHCARE,7.2
07T,F84653,THE SURGERY (PATEL),7.1
07T,F84621,SANDRINGHAM PRACTICE,6.7
07T,F84042,THE SURGERY (KINGSLAND ROAD),6.6
07T,F84668,THE CLAPTON SURGERY,6.5
07T,F84038,BEECHWOOD MEDICAL CENTRE,6.4
07T,F84619,THE RIVERSIDE PRACTICE,6.1
07R,F83635,KINGS CROSS ROAD PRACTICE,8.4
07R,F83683,SOMERS TOWN MEDICAL CENTRE,8.1
07R,F83632,QUEENS CRESCENT SURGERY,6.9
07R,F83025,THE REGENTS PARK PRACTICE,6.8
07R,F83018,PRINCE OF WALES ROAD PRACTICE (GROUP),6.8
07R,F83030,FOUR TREES SURGERY,6.7
07R,F83040,BEDFORD SQUARE MEDICAL CENTRE,6.6
07R,F83006,AMPTHILL PRACTICE,6.0
07R,F83050,FORTUNE GREEN ROAD SURGERY,5.6
07R,F83042,GRAYS INN ROAD MEDICAL CENTRE,5.5
07Q,G84624,ANERLEY SURGERY,7.3
07Q,G84032,KNOLL RISE SURGERY,7.1
07Q,G84005,DERRY DOWNS SURGERY,7.0
07Q,G84019,BROOMWOOD SURGERY,6.6
07Q,G84007,POVEREST MEDICAL CENTRE,6.2
07Q,G84034,SEVENOAKS ROAD SURGERY,6.2
07Q,G84022,TRINITY MEDICAL CENTRE,6.2
07Q,G84604,HIGHLAND ROAD SURGERY,6.2
07Q,G84630,CRESCENT SURGERY,6.0
07Q,G84621,WHITEHOUSE SURGERY,6.0
07P,E84003,PREMIER MEDICAL CENTRE,9.8
07P,E84620,PRESTON ROAD SURGERY,9.7
07P,E84030,AKSYR MEDICAL PRACTICE,9.6
07P,E84028,THE STONEBRIDGE PRACTICE,9.5
07P,E84656,DR P CHATLANI & PARTNERS,9.4
07P,E84020,THE STAG-HOLYROOD SURGERY,9.1
07P,E84035,THE MEDICAL CENTRE,8.9
07P,E84669,THE EAGLE EYE,8.9
07P,E84017,SUDBURY & ALPERTON MEDICAL CENTRE,8.7
07P,E84031,BRENTFIELD MEDICAL CENTRE,8.7
07N,G83672,MILL ROAD SURGERY,8.8
07N,G83037,BULBANKS MEDICAL CENTRE,7.8
07N,G83005,CAIRNGALL MEDICAL PRACTICE,7.6
07N,G83018,LAKESIDE MEDICAL PRACTICE,6.8
07N,G83052,BELVEDERE MEDICAL CENTRE,6.6
07N,G83066,SIDCUP MEDICAL CENTRE,6.5
07N,G83053,BEXLEY MEDICAL GROUP,6.4
07N,G83025,WELLING MEDICAL PRACTICE,6.3
07N,G83004,BARNARD MEDICAL PRACTICE,6.3
07N,G83033,DR THAVAPALAN AND PARTNERS,6.3
07M,E83639,ROSEMARY SURGERY,9.2
07M,E83644,BALLARDS LANE SURGERY,9.2
07M,E83038,JAI MEDICAL CENTRE,8.8
07M,E83045,FRIERN BARNET MEDICAL CENTRE,8.3
07M,E83028,PARKVIEW SURGERY,8.2
07M,E83035,WENTWORTH MEDICAL PRACTICE,8.1
07M,E83007,SQUIRES LANE MEDICAL PRACTICE,8.0
07M,Y00105,HOLLY PARK CLINIC,7.5
07M,E83657,THE HILLVIEW SURGERY,7.5
07M,E83653,THE PHOENIX PRACTICE,7.2
07L,F82612,THE WHITE HOUSE SURGERY,8.3
07L,F82018,DR AS CHOPRA'S PRACTICE,8.2
07L,F82642,GABLES SURGERY,7.9
07L,F82003,DR M FATEH'S PRACTICE,7.9
07L,F82660,DR V GORIPARTHI'S PRACTICE,7.8
07L,F82647,DR R CHIBBER'S PRACTICE,7.6
07L,F82668,DR AK MITTAL'S PRACTICE,7.3
07L,F82678,DR KM ALKAISY PRACTICE,7.1
07L,F82650,DR AA ANSARI'S PRACTICE,6.9
07L,F82604,DR KP KASHYAP'S PRACTICE,6.9
07K,Y00774,BRANDON MEDICAL PRACTICE,7.5
07K,D83062,FOREST GROUP PRACTICE,7.4
07K,D83045,LAKENHEATH SURGERY,6.5
07K,D83070,AVICENNA,6.3
07K,D83003,WICKHAMBROOK SURGERY,6.1
07K,D83055,WOOLPIT HEALTH CENTRE,6.0
07K,D83005,ANGEL HILL SURGERY,6.0
07K,D83018,MARKET CROSS SURGERY,5.8
07K,D83078,WHITE HOUSE SURGERY,5.7
07K,D83013,THE GUILDHALL AND BARROW SURGERY,5.7
07J,D82021,HUNSTANTON SURGERY,9.0
07J,D82049,LITCHAM HEALTH CENTRE,8.7
07J,D82065,MANOR FARM MEDICAL CENTRE,8.5
07J,D82027,HEACHAM GROUP PRACTICE,8.4
07J,D82057,CAMPINGLAND SURGERY,8.2
07J,D82621,PLOWRIGHT MEDICAL CENTRE,8.1
07J,D82079,FELTWELL SURGERY,7.7
07J,D82010,GRIMSTON MEDICAL CENTRE,7.6
07J,D82044,VIDA HEALTHCARE,7.5
07J,D82015,BRIDGE STREET SURGERY,7.1
07H,F81619,SYDENHAM HOUSE SURGERY,7.5
07H,F81120,NUFFIELD HOUSE HEALTH CENTRE,6.8
07H,F81062,CHIGWELL MEDICAL CENTRE,6.7
07H,F81758,OSLER HOUSE MEDICAL CENTRE,6.6
07H,F81106,THE ROSS PRACTICE,6.5
07H,F81027,LISTER MEDICAL CENTRE,6.5
07H,F81103,GREENYARD MEDICAL CENTRE,6.5
07H,F81043,THE LIMES MEDICAL CENTRE,6.4
07H,F81725,MAYNARD COURT SURGERY,6.4
07H,F81047,THE HAMILTON PRACTICE,6.2
07G,F81084,DR MOHILE RV PRACTICE,8.2
07G,F81110,DR SUNTHARALINGAM R PRACTICE,7.3
07G,F81177,DR DESHPANDE AM PRACTICE,7.1
07G,F81088,DR ROY BB PRACTICE,6.9
07G,F81082,DR JONES SR PRACTICE,6.9
07G,F81206,THE SHEHADEH MEDICAL CENTRE,6.7
07G,F81697,DR DEVARAJA VC PRACTICE,6.6
07G,F81197,DR BELLWORTHY SV PRACTICE,6.6
07G,F81643,THE SHEHADEH MEDICAL CENTRE - GRAYS,6.3
07G,F81641,DR MASSON KK PRACTICE,6.3
06Y,D82629,WALKER-GREGORY PRACTICE,6.9
06Y,D82063,WATTON MEDICAL PRACTICE,6.6
06Y,D82041,SCHOOL LANE SURGERY,6.5
06Y,D82100,SHIPDHAM SURGERY,6.4
06Y,D82056,ELMHAM SURGERY,6.2
06Y,D82002,GROVE SURGERY,6.2
06Y,D82039,MATTISHALL SURGERY,6.0
06Y,D82034,ATTLEBOROUGH SURGERIES,5.5
06Y,D82050,THEATRE ROYAL SURGERY,5.5
06Y,D82042,E HARLING & KENNINGHALL MEDICAL PRACTICE,5.5
06W,D82096,WOODCOCK RD SURGERY,5.4
06W,D82060,BACON ROAD MEDICAL CENTRE,5.4
06W,D82632,OLD PALACE MEDICAL PRACTICE,5.2
06W,D82018,HELLESDON MEDICAL PRACTICE,5.2
06W,D82073,YARE VALLEY MEDICAL PRACTICE,5.1
06W,D82071,EAST NORWICH MEDICAL PARTNERSHIP,5.0
06W,D82026,LAKENHAM SURGERY,4.8
06W,D82008,ST. STEPHEN'S GATE MEDICAL PRACTICE,4.8
06W,D82040,WENSUM VALLEY MEDICAL PRACTICE,4.8
06W,D82011,CASTLE PARTNERSHIP,4.7
06V,D82053,MUNDESLEY MEDICAL CENTRE,7.8
06V,D82009,STALHAM STAITHE SURGERY,7.7
06V,D82028,LUDHAM MEDICAL PRACTICE,7.4
06V,D82005,SHERINGHAM MEDICAL PRACTICE,6.6
06V,D82004,CROMER GROUP PRACTICE,6.4
06V,D82059,BIRCHWOOD SURGERY,6.4
06V,D82038,WELLS HEALTH CENTRE,6.3
06V,D82080,BLOFIELD SURGERY,6.1
06V,D82054,FAKENHAM MEDICAL PRACTICE,5.8
06V,D82104,ACLE MEDICAL PARTNERSHIP,5.8
06T,F81157,THE FRINTON ROAD MEDICAL CENTRE,9.7
06T,F81018,GREAT CLACTON MEDICAL PARTNERSHIP,8.3
06T,F81017,WALTON SURGERY,8.3
06T,F81052,ST. JAMES SURGERY,8.1
06T,F81156,RANWORTH SURGERY,7.4
06T,F81741,CRUSADER SURGERY,7.1
06T,F81037,EAST LYNNE MEDICAL CENTRE,7.1
06T,F81026,CARADOC SURGERY,7.1
06T,F81670,EPPING CLOSE,7.0
06T,F81212,OLD ROAD SURGERY,6.9
06Q,F81040,STOCK SURGERY,6.9
06Q,F81074,MELBOURNE HOUSE SURGERY,6.8
06Q,F81024,DICKENS PLACE,6.8
06Q,F81173,DOUGLAS GROVE SURGERY,6.7
06Q,F81087,MOUNT CHAMBERS,6.4
06Q,F81014,ST. LAWRENCE MEDICAL PRACTICE,5.9
06Q,F81717,MAYLANDSEA MEDICAL CENTRE,5.9
06Q,F81193,WITHAM HEALTH CENTRE,5.9
06Q,F81126,BURNHAM SURGERY,5.8
06Q,F81149,THE LAURELS SURGERY,5.7
06P,E81016,DR LB YANNY'S PRACTICE,9.8
06P,E81631,DR A ZAMAN'S PRACTICE,9.8
06P,E81028,DR R KHANCHANDANI'S PRACTICE,8.6
06P,E81618,DR MQ HODA'S PRACTICE,8.2
06P,E81005,DR SKP CHOUDHURY'S PRACTICE,8.0
06P,E81612,DRS MIRZA SUKHANI & PARTNERS,7.9
06P,E81048,BUTE HOUSE MEDICAL CENTRE,7.8
06P,Y02477,WHIPPERLEY MEDICAL CENTRE,7.8
06P,E81001,DR I SALEH'S PRACTICE,7.6
06P,E81010,DR WHM MATTA'S PRACTICE,7.1
06N,E82613,CASSIO SURGERY - E82613,9.2
06N,E82045,UPTON ROAD SURGERY,7.7
06N,E82004,HATFIELD ROAD SURGERY,6.8
06N,E82012,FAIRBROOK MEDICAL CENTRE,6.5
06N,E82034,TUDOR SURGERY,5.8
06N,E82049,BALDWINS LANE SURGERY,5.7
06N,E82652,GOSSOMS END SURGERY,5.7
06N,E82640,HIGHFIELD SURGERY,5.6
06N,E82113,COLNEY MEDICAL CENTRE,5.6
06N,E82653,305 PRESTWICK ROAD SURGERY,5.6
06M,D83010,FIELD LANE SURGERY,7.6
06M,D82058,COASTAL VILLAGES PRACTICE,7.2
06M,D83016,VICTORIA ROAD SURGERY,7.1
06M,Y00164,NELSON MEDICAL PRACTICE,7.0
